        ID   English  Calculus   Physics Chemistry
     00354      74.8      50.3      97.0      76.4
     00355      33.0      52.4      16.0      46.1
     00356      63.1      47.8      35.7      20.9
     00357       6.3      78.8      32.3      74.6
     00358      10.9      57.4       6.8      94.8
     00359      51.6      26.8       6.2      58.9
     00360      74.2      11.9      83.4      97.0
     00361      60.5       6.7      97.4      89.8
     00362      62.4      49.1      18.9       2.1
     00363      12.4      67.6      84.7      25.6
     00364      22.7      80.0      15.7      58.2
     00365      36.0      27.4      95.5      94.8
     00366      15.2      27.3      93.6      67.9
     00367      81.5      98.0      36.9      96.6
     00368      18.5      26.8      26.9      64.1
     00369       0.6      59.0      80.8      17.2
     00370      83.7      71.8      73.5      31.7
     00371      38.2      27.7      57.2      10.8
     00372      10.3       4.6      72.3      21.7
     00373       2.4       9.0      86.3       8.8
     00374      29.5      71.4      39.0      72.4
     00375      72.9      93.1      35.0      13.4
     00376      76.2      34.3      46.3      58.7
     00377      14.9      96.3      90.1      11.8
     00378      86.7       6.6      48.7      99.3
     00379      11.5      52.1       9.5      14.8
     00380      10.3      74.3      66.7      59.5
     00381       8.8      70.2      30.9      12.2
     00382      95.6      87.3       4.3      55.1
     00383      75.0      77.0       6.4      11.5
     00384      33.6      41.8      23.4      67.1
     00385      16.2      86.2      44.2       7.5
     00386      51.8      59.0      16.7      36.8
     00387      88.9      68.2      42.1      26.1
     00388      81.7      43.3      97.5      73.1
     00389      33.2      94.1      61.9      25.4
     00390      11.1      99.0      38.6      26.5
     00391      69.5      45.2      64.8      45.2
     00392       8.3      63.0      87.1      88.8
     00393      87.2      68.4      41.9      12.8
     00394      73.1      97.1      46.1      92.0
     00395      55.4      55.5      65.5      73.3
     00396      72.5      73.6      14.0      26.1
     00397       9.5      27.8      78.5      72.0
     00398      57.9      43.4      91.5      28.7
     00399      86.8      97.0      40.2      66.9
     00400      26.5      59.3      33.2      98.6
     00401      43.5      42.1       6.5      49.4
     00402      17.3      17.4       7.8      29.5
     00403       0.1      67.9      67.7      26.2
     00404      75.9       7.5       2.0      47.0
     00405      97.8      47.8      71.0      34.0
     00406       1.2       0.4       0.2      19.7
     00407      35.0      95.0      30.5      78.6
     00408      57.4       0.6      72.7      91.0
     00409      50.3      84.5      79.7      43.2
     00410      96.1      34.6      69.6      70.3
     00411      16.3      13.6      59.2      38.7
     00412       2.6      48.2      11.3      87.5
     00413      84.9      77.1      77.6      61.9
     00414      11.0      88.3      47.8      28.7
     00415       8.8       5.7      79.0      77.5
     00416      13.9      36.2      60.0       0.5
     00417      77.4      74.8       7.3      82.7
     00418      34.4      48.2      24.7       4.0
     00419      20.1      46.5      53.1      24.6
     00420      42.9      71.2       8.6      23.6
     00421       6.5      44.5      64.7      55.7
     00422      60.8      54.9      61.9      85.1
     00423      34.6      40.7      24.6      35.7
     00424      69.3      92.7      95.7      56.6
     00425      43.9      77.0      17.7      85.2
     00426      92.5      18.7      79.1      93.3
     00427      18.5      78.6      35.7      90.4
     00428      91.3      73.7      27.3      43.4
     00429      26.3      23.2      79.5      24.4
     00430       8.7      54.4      14.4      45.1
     00431      28.5      82.5      67.6      22.7
     00432      15.5      60.5      10.5       6.5
     00433       9.2      56.0      75.7      32.9
     00434      52.3      86.0      98.3      97.2
     00435      65.2      22.0       3.8      61.2
     00436      82.5       3.5      44.9      93.8
     00437      83.4      69.9      48.4      12.8
     00438      17.3      79.2      61.4       4.7
     00439      53.5      71.4      75.5      43.7
     00440      39.1      29.3      52.2      55.4
     00441      12.8      66.9      71.0      62.3
     00442      80.8      33.6      47.6      91.7
     00443       8.0      17.2      50.6      40.3
     00444      85.0      24.5      47.5       5.8
     00445      11.1      44.2      46.3      94.6
     00446      41.8      23.6       3.0      29.9
     00447      63.0      22.1      27.3       9.2
     00448      92.2       9.3      41.4      63.1
     00449      40.2      75.0      19.3      95.5
     00450       6.0      10.5      28.0      44.1
     00451      92.5      25.6      23.9      59.1
     00452      87.2      75.3      51.7      86.9
     00453      68.3      53.0      13.1      26.6
     00454       2.5      70.5      41.8      22.2
     00455       7.9      72.0      99.6      98.8
     00456      28.3      58.9      57.4       4.1
     00457      20.2      69.9      56.3      41.8
     00458      11.0      71.3      55.6      15.7
     00459       5.8      68.3      87.9      40.0
     00460      96.9      18.1      22.0       2.1
     00461      63.6      43.3      26.6      10.1
     00462      33.2      90.4      78.3      76.0
     00463      82.2      56.8      28.8      66.5
     00464      50.2      91.0      94.8      53.0
     00465      89.3      99.0      58.9      15.6
     00466      63.3      37.8       9.0      33.5
     00467      58.2       8.7      56.2      58.3
     00468      75.5      73.7      76.1      63.7
     00469      76.0      41.8       6.1      74.1
     00470      73.8      16.2      76.7      66.0
     00471      15.5      79.1      21.0      99.6
     00472      35.7      92.0      37.3      63.3
     00473      25.8      65.2      71.4      28.6
     00474      10.5      90.5       2.9      81.8
     00475       6.9      57.3      71.0      46.1
     00476      94.1      14.7      79.7      47.1
     00477      48.3      38.9      41.7      36.1
     00478       3.4      15.9      65.4      42.1
     00479      67.4      36.9      86.0      31.5
     00480      66.6      90.6      22.1      59.2
     00481      87.8      72.1      51.7      71.1
     00482      39.8      15.9      49.7      96.8
     00483      94.8      77.1      31.1      39.0
     00484      46.7      67.6      37.2      32.2
     00485      59.8      48.7      10.3      82.0
     00486      76.7      47.4      83.2      61.0
     00487      67.9      94.8       6.3      81.8
     00488      55.5      97.8      66.0      94.5
     00489      85.6      72.0      14.7      13.6
     00490      11.4      56.5      24.2       8.0
     00491      31.9      42.7      97.9      55.4
     00492       6.5      44.7      86.8      29.1
     00493      90.9      47.0      41.9      61.9
     00494      67.3      11.4      96.5      52.7
     00495      23.5      83.8      80.4      14.7
     00496      48.9      27.3      32.6      21.7
     00497      98.6      57.4      73.7      94.2
     00498       3.1      71.6      98.9      84.3
     00499      26.9      15.9      74.5      45.9
     00500      52.1      38.0      22.3      23.6
     00501      96.9       7.7      38.4      49.6
     00502      63.8      88.1      98.4      18.8
     00503      41.8      61.3      89.2      16.9
     00504      10.7      73.9      49.9      37.5
     00505      75.7      57.3      66.2      30.0
     00506      11.9      13.7      93.6       0.1
     00507      98.6      97.7      88.0      49.6
     00508      23.8      61.3      66.7      51.5
     00509       3.8      27.6      42.2      40.2
     00510      18.4      95.8      85.6      51.5
     00511       7.6      18.9      10.6      93.6
     00512      97.6      25.9      66.4      34.6
     00513      67.0      83.6      93.0      22.1
     00514      62.3      91.7      30.9      63.7
     00515      82.2       4.7      18.6      87.9
     00516      97.1      55.1      91.7      59.6
     00517      33.2      88.1      17.9       2.6
     00518      32.6      23.0      66.1      27.8
     00519      39.1      39.0      25.5      89.3
     00520       7.3      25.7      94.9      68.2
     00521      77.8      94.7      75.3      44.3
     00522      32.8      94.4      61.0      32.4
     00523      18.1      25.7      13.7       8.2
     00524      75.3      37.6      32.3      37.6
     00525      76.3      40.7      22.1      67.3
     00526      34.9      16.9      79.1      24.6
     00527      21.7      16.8      97.3      91.5
     00528      72.9      92.4      33.2      12.8
     00529       1.6      23.0      94.3      88.0
     00530      67.4      50.2      42.3      71.8
     00531      11.3      35.7      44.8      22.8
     00532      23.4      88.0      45.1      44.8
     00533      58.7      91.4      23.1       2.5
     00534      96.6      26.0      60.9       0.5
     00535      34.7      13.0      71.2      16.9
     00536      92.3      87.2      48.2      11.7
     00537      62.9      78.6       9.5      58.9
     00538      33.8      28.5      39.0      33.0
     00539      34.5      50.2      99.5      71.0
     00540      24.8      18.0      19.2      55.0
     00541      71.4      68.3      42.2      92.8
     00542      92.7      37.1      61.3      58.4
     00543      13.4      16.5      84.7      40.2
     00544      95.2       6.7      48.6       0.2
     00545      14.0      22.8      13.0      16.1
     00546      29.7      56.9      10.1      88.3
     00547      21.4      12.8      42.8      31.9
     00548      44.8      70.0      44.7      52.1
     00549      25.5      82.9      83.8      92.4
     00550      83.6      38.7      10.5      14.9
     00551      12.9      81.7      24.6      19.4
     00552      61.9      49.1      29.6      55.7
     00553      57.4      58.5      81.0      10.8
     00554      93.6      46.3      50.6      15.8
     00555      81.3      27.8      35.5      69.7
     00556      59.1      73.4      86.0      44.6
     00557      91.8      30.3      21.8       7.7
     00558      97.0      57.0      75.3      50.5
     00559      65.3      55.9      65.9      79.1
     00560      35.3      12.8      21.4      33.4
     00561      85.4       2.7      47.8      25.4
     00562      42.2      20.9      46.6      58.0
     00563      45.6      80.6      13.1       8.0
     00564      80.2      94.0      18.1      44.7
     00565      89.0       4.1      36.6      62.2
     00566      15.2      71.7      88.4      74.8
     00567      98.6      79.5      27.4       4.1
     00568      94.7      72.3       6.5       6.4
     00569      88.6      88.8      90.8      46.0
     00570      15.3      30.5      22.2      98.4
     00571      51.0      83.9      26.8      28.4
     00572      65.2      98.5      45.5       6.1
     00573      57.4      17.6      28.9      20.9
     00574      52.0      43.2      47.0      77.5
     00575      69.2       9.6      83.5      68.4
     00576      13.9      22.0      77.5      10.4
     00577      80.1       3.2      95.2      16.5
     00578      47.3      99.8      20.9      76.8
     00579      98.9      15.0      59.2      14.8
     00580      60.5      15.0       3.5      19.8
     00581      21.3      24.5      74.9      61.4
     00582      88.1      39.3      13.0      63.4
     00583      32.1      23.6      64.9      45.2
     00584      70.2       2.8      97.0      47.1
     00585      86.2      37.4      89.7      41.4
     00586      39.3      74.2      56.5      98.3
     00587      91.9      17.2      24.8      37.4
     00588      22.9      44.5      33.8      74.4
     00589      67.4       9.8      53.9      79.5
     00590      42.3      72.8      89.6      29.2
     00591      94.2       8.2      14.9      83.1
     00592      74.2      58.4      41.6      88.3
     00593      94.9      50.2      38.9      10.1
     00594      59.8      80.0       5.1      53.5
     00595      85.6      53.7      45.8      52.7
     00596      91.3      86.6      11.2      19.9
     00597      56.1      16.6      61.9      34.4
     00598      15.9      86.1      90.4      82.4
     00599      34.3      34.2      48.6       0.7
     00600       1.0      93.7      41.8      16.7
     00601      13.6       1.9      23.7      98.8
     00602      58.2      78.5      79.8      53.4
     00603      76.2      15.2      11.7      22.0
     00604      33.0       7.9      32.2      66.2
     00605      49.5      80.0      52.8      35.8
     00606      17.9      61.0       2.4       3.5
     00607      88.7      58.2      43.8      85.9
     00608      41.9      11.0      66.8      31.1
     00609      89.0       7.5      30.4      47.2
     00610      57.1      99.7      41.2      46.1
     00611      99.6      67.6      32.6      74.2
     00612      66.6      31.0      97.1      11.9
     00613       1.3      78.8      76.1      77.2
     00614      99.7      86.9      37.4      16.9
     00615      79.3      38.2      88.6      23.6
     00616       5.5      73.1      45.3      13.6
     00617      88.9      25.9      17.9      19.3
     00618      52.9      19.2      78.0      95.3
     00619      44.0      52.1      79.5      42.0
     00620      24.8      13.0      95.9      37.3
     00621      63.8      96.9      31.6      12.8
     00622      70.4      43.0      32.1      96.0
     00623      40.4      11.4      58.0      11.4
     00624      79.0      43.5      49.9      22.9
     00625       2.5      21.3      12.8      51.4
     00626      10.7      30.8      81.7      86.8
     00627      56.2      54.7       0.9      69.5
     00628      45.8      93.2      24.2      65.3
     00629      17.0      48.2      28.5      85.0
     00630      30.1      50.5      46.7      79.4
     00631      87.0      98.8      69.6      53.5
     00632       4.6      15.3      75.8      32.5
     00633      41.6      73.3      56.2      78.6
     00634      49.2      63.0      70.0      48.9
     00635      97.0      87.9       6.5      51.1
     00636       7.1      23.7      43.0      27.1
     00637       6.8      51.9      56.6      29.6
     00638      25.3      67.4      15.4      85.0
     00639      57.4      37.4      38.0      31.0
     00640       6.0      23.8      53.0      55.3
     00641      73.9      58.3      50.3       8.9
     00642       5.4      96.2      55.2      38.9
     00643      88.2      99.6      63.7      49.5
     00644      72.0      70.0      46.6      20.3
     00645       4.2      90.4       6.3      94.5
     00646       0.5      83.1      75.3      35.2
     00647      48.2      48.0      81.1      45.7
     00648      87.8      75.0      35.0      51.2
     00649      73.2      64.0      84.2       8.3
     00650      25.0      66.6       9.8      61.0
     00651      77.2      86.2      80.3      72.8
     00652      29.4      55.8      38.5      79.9
     00653      10.1      88.4      72.0      61.9
     00654      35.2      76.0      24.2      95.7
     00655      45.9      17.7      14.6      35.6
     00656      22.0      61.6      85.1      28.1
     00657      37.4      54.6      38.3      77.8
     00658       6.2      37.6      85.7      20.6
     00659      39.8      35.6      42.5      49.4
     00660      76.1      52.5      49.9      35.0
     00661      20.0      95.4      39.1      37.4
     00662       9.4      10.0      84.5      56.5
     00663      81.9      18.4      80.2      47.1
     00664       5.7      89.1      48.7      86.8
     00665      18.2      91.4      47.4      10.1
     00666      69.8      75.2      53.7      82.6
     00667      45.1      18.8       4.7      66.5
     00668      68.3      58.3      82.8      43.3
     00669      42.1      56.8      17.3      38.8
     00670      84.9      98.7      35.2      29.5
     00671      32.9      43.5      73.4      52.0
     00672      54.9      13.9      75.0      16.5
     00673      56.9      63.3      60.0      57.2
     00674      95.2      42.4      52.2      60.3
     00675      72.9      62.5      41.6      38.5
     00676       3.1      45.5      90.8      14.3
     00677       3.7      39.8      84.3      93.0
     00678      23.4      14.5      61.0      37.9
     00679      25.7      45.1      36.5       3.8
     00680      28.8      37.0      37.9      36.9
     00681      43.5      22.4      53.2      20.4
     00682       8.3      41.3      36.7      13.4
     00683      91.9      50.1      70.6      24.4
     00684      41.9      89.1      59.7      36.4
     00685      82.4      65.5       6.5      82.1
     00686      54.5      62.6      90.7      38.4
     00687      73.7       5.5      30.2      90.2
     00688      17.2      15.7      21.6      59.9
     00689      35.3      73.3      23.1      25.4
     00690      41.7      35.2      94.2      58.5
     00691      97.7      89.0      43.9      73.5
     00692      42.1      15.8      26.9      22.6
     00693      51.0      50.6      14.1      21.0
     00694      25.7      49.0      12.7      12.8
     00695      92.9      86.0      35.9      80.0
     00696      22.7      44.2      58.9      45.6
     00697      40.7      85.1      81.2      77.4
     00698      51.5      29.2       3.5      71.7
